Pozicija;Dalyvis;Metai;Distancija;Laikas
243;Jolita Žuromskaitė;2010;4.2;12:23:05
244;Andrew Penpraze;2010;42;4:59:21
244;Domas Voroneckas;2010;4.2;12:23:06
245;Ehlers Claus;2010;42;4:59:37
245;Giedrius Judickas;2010;4.2;12:23:06
246;Saulius Mažrimas;2010;42;5:00:10
246;Liutauras Tarabrinas;2010;4.2;12:23:07
247;Stasys Čirba;2010;42;5:00:37
247;Vygantas Petkevicius;2010;4.2;12:23:07
248;Zaiceva Liubovė;2010;42;5:00:37
248;Indrė Zabotkaitė;2010;4.2;12:23:08
249;Gyda Hansen;2010;42;5:01:00
249;Darius Križinauskas;2010;4.2;12:23:10
250;Kazimierz Zielinski;2010;42;5:04:53
250;Ingrida Revutienė;2010;4.2;12:23:13
251;Andrius Jarašiūnas;2010;42;5:05:38
251;Vaidas Speičys;2010;4.2;12:23:13
252;Aleksandr Vika;2010;42;5:06:11
252;Vilhelmas Kliševičius;2010;4.2;12:23:13
253;Michel van der Heijden;2010;42;5:07:06
253;Stasys Bagvilas;2010;4.2;12:23:13
254;Riccardo Russo;2010;42;5:08:27
254;Ieva Stasytytė;2010;4.2;12:23:15
255;Thomas Lew;2010;42;5:11:17
255;Vanda Žemaitytė;2010;4.2;12:23:16
256;Eino Tolga;2010;42;5:12:05
256;Renaldas Rėkštys;2010;4.2;12:23:17
257;Gytė Mankutė;2010;42;5:12:44
257;Mindaugas Kairys;2010;4.2;12:23:20
258;Ruth Hedegaard;2010;42;5:15:55
258;Ovidijus Motekaitis;2010;4.2;12:23:23
259;Flemming Holstein;2010;42;5:15:55
259;Arūnas Lebedevas;2010;4.2;12:23:26
260;Nerijus Pudžiuvelis;2010;42;5:18:14
260;Karina Šestakova;2010;4.2;12:23:26
261;Robert Bukowski;2010;42;5:45:06
261;Liga Briede;2010;4.2;12:23:28
262;Jolita Krumplytė;2010;4.2;12:23:29
263;Džozefina Babelčiūtė;2010;4.2;12:23:29
264;Gabrielius Vizgirdas;2010;4.2;12:23:30
265;Ovidijus Raziūnas;2010;4.2;12:23:31
266;Darius Križinauskas;2010;4.2;12:23:31
267;Marius Žitkauskas;2010;4.2;12:23:32
268;Linas Kukuraitis;2010;4.2;12:23:32
269;Donatas Navickas;2010;4.2;12:23:36
270;Kęstutis Juočionis;2010;4.2;12:23:37
271;Judita Traubaitė;2010;4.2;12:23:39
272;Egidijus Brazaitis;2010;4.2;12:23:39
273;Juozas Dudutis;2010;4.2;12:23:40
274;Julius Vilčinskas;2010;4.2;12:23:41
275;Valdemaras Gedžiūnas;2010;4.2;12:23:41
276;Tomas Rizgelis;2010;4.2;12:23:42
277;Juozas Gervė;2010;4.2;12:23:42
278;Juozapas Blažiūnas;2010;4.2;12:23:42
279;Emilija Tekoriūtė;2010;4.2;12:23:43
280;Paulius Daugėla;2010;4.2;12:23:43
281;Gytis Masiulis;2010;4.2;12:23:44
282;Algis Leitzinger;2010;4.2;12:23:45
283;Ieva Zdanytė;2010;4.2;12:23:45
284;Linas Nasvytis;2010;4.2;12:23:46
285;Vaidotas Gudiškis;2010;4.2;12:23:48
286;Greta Jokubauskaitė;2010;4.2;12:23:51
287;Justina Sinušaitė;2010;4.2;12:23:53
288;Radoslav Januškevič;2010;4.2;12:23:55
